0,1,2,3,4,5,6,7,8
"P1016
GREAT LAKES AGGREGATES - LIPPMANN PLANT",5699 READY ROAD,S ROCKWOOD,48001,MONROE,,,View,
"P1005
INDEPENDENCE EXCAVATING",I-75 AND WEST BIG BEAVER ROAD,TROY,48001,OAKLAND,,,View,
"P1019
GROUND EFFECTS, LLC",1990 CONCEPT DRIVE,WARREN,48001,MACOMB,View,,View,
"N8067
ARISTO CAST",7400 RESEARCH DR,ALMONT,48003,LAPEER,View,,,
U442102125 NOVAK'S SUPPLY AND EQUIPMENT,3620 M-53,ALMONT,48003,LAPEER,View,,,
U441700575 VACANT BUILDING,401 CHURCH STREET,ALMONT,48003,LAPEER,View,,,
"K2576
HENRY FORD MACOMB HEALTH CENTER -BRUCE TOWNSHIP",80650 EARLE MEMORIAL HOSPITAL,BRUCE TWP,48003,MACOMB,View,,,
"B8809
ARMADA GRAIN",73180 FULTON,ARMADA,48005,MACOMB,View,,,
"N5696
ARMADA RUBBER MANUFACTURING CO",24586 ARMADA RIDGE RD,ARMADA,48005,MACOMB,View,,View,
"B6636
CONSUMERS ENERGY - RAY COMPRESSOR STATION",69333  OMO RD.,ARMADA,48005,MACOMB,View,View,,
"N7047
HILCO TECHNOLOGIES",15211 LAETHEM DRIVE,ARMADA,48005,MACOMB,View,,View,
"P1160
KRAUSE VETERINARY CLINIC",72025 NORTH AVENUE,ARMADA,48005,MACOMB,,,View,
"E9903
HOLSBEKE CONSTRUCTION, INC.",31071 DIVISION STREET,NEW HAVEN,48005,MACOMB,View,,,
"B6145
DTE ELECTRIC COMPANY - GREENWOOD ENERGY CENTER",7000  KILGORE ROAD,AVOCA,48006,SAINT CLAIR,View,View,,
"N7711
RGE AGGREGATES",8870 BRYCE RD,AVOCA,48006,SAINT CLAIR,View,,View,
U631803621 COMMERCIAL BUILDING,525 SOUTHFIELD,BIRMINGHAM,48009,OAKLAND,View,,,
"EN6300255
ETON CLEANERS",217 NORTH ETON,BIRMINGHAM,48009,OAKLAND,View,,,
"EN6300049
GRANT STREET CLEANERS",1190 GRANT STREET,BIRMINGHAM,48009,OAKLAND,View,,,
U631509193 QUALITY COACH COLLISION,2295 E. LINCOLN STREET,BIRMINGHAM,48009,OAKLAND,View,,,
"N6621
DETROIT WATER & SEWERAGE, ADAMS ROAD STATION",6201 ADAMS ROAD,BLOOMFELD HLS,48013,OAKLAND,View,,View,
"B6481
ANR PIPELINE COMPANY - CAPAC COMPRESSOR STATION",4876  KETTLEHUT RD.,CAPAC,48014,SAINT CLAIR,View,,View,
"M3423
CAPACFARMERS ELEVATOR CO",220 HUNTER STREET,CAPAC,48014,SAINT CLAIR,View,,,
U741612777 FORMER CAPAC STORAGE,5570 HACKMAN,MUSSEY TOWNSHIP,48014,SAINT CLAIR,View,,,
"B8337
ANR PIPELINE CO.-MUTTONVILLE COMPRESSOR STATION",36555  29 MILE RD.,MUTTONVILLE,48014,MACOMB,View,View,,
"N5107
CREST FORD, INC.",26333 VAN DYKE,CENTER LINE,48015,MACOMB,View,,,
"B6379
SODECIA NORTH AMERICA",24331 SHERWOOD AVE,CENTER LINE,48015,MACOMB,,,View,
"EN5000053
VAN DYKE CLEANERS",26677 VAN DYKE,CENTER LINE,48015,MACOMB,View,,,
"N2828
COMPASS WHOLESALE TIRES & CAR PARTS",13125 8 MILE RD,STERLING HTS,48015,MACOMB,View,,,
"A5095
CREATIVE SOLUTIONS GROUP, INC.",1250 CROOKS RD,CLAWSON,48017,OAKLAND,View,,,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,Other* ROP,PTI,,
N6577,"ND INDUSTRIES,  INC.",1000 N. CROOKS ROAD,CLAWSON,"48017
OAKLAND",View,View,,
EN6300248,ONE HOUR MARTINIZING CLAWSON,141 E 14 MILE RD,CLAWSON,"48017
OAKLAND",View,,,
U631800016 RESIDENCE,,29 HIGH STREET,CLAWSON,"48017
OAKLAND",View,,,
U632100705 VACANT RESIDENTIAL,,444 N. ROCHESTER RD.,CLAWSON,"48017
OAKLAND",View,,,
N5832,ACME MANUFACTURING COMPANY,650 W 12 MILE RD,MADISON HTS,"48017
OAKLAND",View,,,
U631603918 FORMER THUNDERBIRD LANES,,400 W. MAPLE ROAD,TROY,"48017
OAKLAND",View,,,
N6900,QUIGLEY INDUSTRIES,38880 GRAND RIVER,FARMINGTN HLS,"48018
OAKLAND",View,,,
U63132498,A & M COLLISION,24792 CRESTVIEW CT.,FARMINGTON HILLS,"48018
OAKLAND",View,,,
B5465,DRAYTON IRON AND METAL CO,5229 WILLIAMS LAKE RD,DRAYTON PLNS,"48020
OAKLAND",View,View,,
N2876,MEROLLIS CHEVROLET AUTOBODY,21800 GRATIOT AVE,EAST DETROIT,"48021
MACOMB",View,,,
N6394,A W CUSTOM CHROME INC,17726 E 9 MILE RD,EASTPOINTE,"48021
MACOMB",View,,,
U501807378 KEM-TEC LAND SURVEYORS,,22556 GRATIOT AVE,EASTPOINTE,"48021
MACOMB",View,,,
B7125,PRODUCTION PLATING,23120 GRATIOT,EASTPOINTE,"48021
MACOMB",View,,,
N0700,RBS CITIZENS NA,16410 STEPHENS RD,EASTPOINTE,"48021
MACOMB",,View,,
N5691,SUNOCO INC - REMEDIATION SYSTEM,25000 GRATIOT AVE,EASTPOINTE,"48021
MACOMB",,View,,
N0106,INSTASET PLASTICS,10101 MARINE CITY HWY,ANCHORVILLE,"48023
SAINT CLAIR",View,,,
U741708252 FORMER ZLATES PLACE,,7750 DIXIE HIGHWAY,FAIR HAVEN,"48023
SAINT CLAIR",View,,,
N7011,GROSSO TRUCKING AND SUPPLY COMPANY,10015 MARINE CITY HIGHWAY,FAIR HAVEN,"48023
SAINT CLAIR",View,,,
N1524,OLIVER CARBIDE PRODUCTS INC.,7445 MAYER RD,FAIR HAVEN,"48023
SAINT CLAIR",View,,,
U742001992 MALLARD POND CONSTRUCTION,,9399 SHORTCUT ROAD,IRA TOWNSHIP,"48023
SAINT CLAIR",View,,,
B6637,CONSUMERS ENERGY - ST. CLAIR COMPRESSOR STATION,10021  MARINE CITY HWY.,IRA TWP,"48023
SAINT CLAIR","View
View",,,
P0641,"A-1 STAMPING, INC.",33381 KELLY ROAD,FRASER,"48026
MACOMB",View,,,
N2788,ALLAN E ROISEN,17060 MASONIC BLVD #10,FRASER,"48026
MACOMB",View,,,
B6483,ANDERSON COOK INC,17650 15 MILE RD,FRASER,"48026
MACOMB",View,,,
N2177,COMPLETE PROTOTYPE SERVICES INC.,33842 JAMES  POMPO DR,FRASER,"48026
MACOMB",View,,,
N1753,FABRI-TOP CO INC,,FRASER,"48026
MACOMB",View,,,
B2429,FAURECIA INTERIOR SYSTEMS,17801 EAST FOURTEEN MILE RD,FRASER,"48026
MACOMB",View,View,,
P0288,FAURECIA INTERIOR SYSTEMS INC.,17085 MASONIC BLVD,FRASER,"48026
MACOMB",,View,,
U501705432 FORMER BALLEW'S BAR & GRILL,,31490 UTICA ROAD,FRASER,"48026
MACOMB",View,,,
N7263,FORMTECH INDUSTRIES LLC FRASER,18450 15 MILE ROAD,FRASER,"48026
MACOMB",View,,,
N3221,FRASER AUTO BODY INC,33420 GROESBECK,FRASER,"48026
MACOMB",View,,,
N7535,"GF FOUNDRY PROTOTYPES, INC.",33670 RIVIERA,FRASER,"48026
MACOMB",,View,,
B7084,M & S SPRING CO,34137 DOREKA,FRASER,"48026
MACOMB",View,,,
N7039,MOLD-TECH MICHIGAN,34497 KELLY ROAD,FRASER,"48026
MACOMB",,View,,
B5524,NATIONAL RESEARCH CO,33175 GROESBECK HWY,FRASER,"48026
MACOMB",View,,,
M2662,P B POLLOCK AND SON INC,17050 MASONIC,FRASER,"48026
MACOMB",View,,,
N1443,PALMER PROMOTIONAL PRODUCTS,33525  GROESBECK HWY.,FRASER,"48026
MACOMB",View,View,,
N1206,"QUALITY SPINDLE SERVICES, INC.",33871 RIVIERA DR,FRASER,"48026
MACOMB",View,,,
N5951,RICHTER PRECISION INC.,17741 MALYN BLVD,FRASER,"48026
MACOMB",View,,,
N2441,SIGNET INDUSTRIES INC,17085 MASONIC AVE,FRASER,"48026
MACOMB",View,,,
N0146,SPECIALTY STEEL TREATING INC,17555 MALYN ST,FRASER,"48026
MACOMB",,View,,
B6501,SPECIALTY STEEL TREATING INC.,34501 COMMERCE ROAD,FRASER,"48026
MACOMB",View,View,,
N0925,VENTURE INDUSTRIES CORP,17400 MALYN AVE,FRASER,"48026
MACOMB",View,,,
P0642,ZERO TOLERANCE,33419 KELLY ROAD,FRASER,"48026
MACOMB",View,,,
U741611695 CONRAD'S POULTRY FARM,,7473 LAPPER ROAD,GOODELLS,"48027
SAINT CLAIR",View,,,
P0843,"ADVANCED ASSEMBLY PRODUCTS, INC.",1300 EAST NINE MILE ROAD,HAZEL PARK,"48030
OAKLAND",View,,,
P1217,AVANCEZ HIGHLAND PARK,1430 E 10 MILE ROAD,HAZEL PARK,"48030
OAKLAND",,View,,
U631501656 CAPITAL SALES COMPANY,,1471 E. NINE MILE ROAD,HAZEL PARK,"48030
OAKLAND",View,,,
U631610826 COMMERCIAL BUILDING,,348 E. NINE MILE ROAD,HAZEL PARK,"48030
OAKLAND",View,,,
B7773,K C JONES PLATING CO DIV OF CHEMETCO,321 W 10 MILE RD,HAZEL PARK,"48030
OAKLAND",View,View,,
U631501658 MICHIGAN SPLINE GAGE COMPANY,,1626 E. NINE MILE ROAD,HAZEL PARK,"48030
OAKLAND",View,,,
N2089,"SELECT AUTO BODY LLC, A.K.A. SELECT COLLISION",23375 DEQUINDRE,HAZEL PARK,"48030
OAKLAND",View,,,
U632103936 VACANT RESIDENTIAL,,39 E. MAPLEDALE,HAZEL PARK,"48030
OAKLAND",View,,,
A4710,ADVANCE CONCRETE PRODUCTS CO,975 N MILFORD RD,HIGHLAND,"48031
OAKLAND",View,,,
EN6300262,ALPINE DRY CLEANERS  HIGHLAND,2934 HIGHLAND ROAD,HIGHLAND,"48031
OAKLAND",View,,,
N6385,"AMC-MID MICHIGAN MATERIALS, LLC",6966 FISHER RD,JEDDO,"48032
SAINT CLAIR",View,,,
"U631502761 ACTION IMPACT, INC.",,25992 W. 8 MILE ROAD,SOUTHFIELD,"48033
OAKLAND",View,,,
U631807777 BUSCHE PERFORMANCE GROUP,,22122 TELEGRAPH ROAD,SOUTHFIELD,"48033
OAKLAND",View,,,
U63120432,"COMAU, INC.","UNKNOWN SOURCE 21175 TELEGRAPH, SFLD.",SOUTHFIELD,"48033
OAKLAND",View,,,
P0780,"DURR SYSTEMS, INC. - SOUTHFIELD",26801 NORTHWESTERN HIGHWAY,SOUTHFIELD,"48033
OAKLAND",View,,,
U63130629,"EMPIRE DOORS, WINDOWS AND MORE, INC.",21500 TELEGRAPH RD.,SOUTHFIELD,"48033
OAKLAND",View,,,
A5098,FEDERAL MOGUL CORP.,26555 NORTHWESTERN HIGHWAY,SOUTHFIELD,"48033
OAKLAND",,View,,
N8025,MICHIGAN BELL TELEPHONE CO,25189 LAHSER RD,SOUTHFIELD,"48033
OAKLAND",,View,,
U63147459,"REID GLASS COMPANY, INC.",22223 TELEGRAPH ROAD,SOUTHFIELD,"48033
OAKLAND",View,,,
N5629,"RMT WOODWORTH, SOUTHFIELD",20941 EAST STREET,SOUTHFIELD,"48033
OAKLAND",View,,,
N5483,AMERCO REAL ESTATE CO,2240 TELEGRAPH RD,SOUTHFIELD,"48034
OAKLAND",View,,,
N3928,"AMERIFLEET, INC.",21375 TELEGRAPH ROAD,SOUTHFIELD,"48034
OAKLAND",View,,,
U63110064,"ART MORAN BUICK-GMC-MITSUBISHI, INC.",29300 TELEGRAPH ROAD,SOUTHFIELD,"48034
OAKLAND",View,,,
N1336,BASF CORPORATION,26701 TELEGRAPH ROAD,SOUTHFIELD,"48034
OAKLAND","View
View",,,
N1127,DENSO INTERNATIONAL AMERICA INC,24777 DENSO DR,SOUTHFIELD,"48034
OAKLAND",View,View,,
N6677,GLASSMAN AUTOMOTIVE GROUP,2800 TELEGRAPH ROAD,SOUTHFIELD,"48034
OAKLAND",View,,,
N7977,MICHIGAN FUELS INC,26355 TELEGRAPH RD,SOUTHFIELD,"48034
OAKLAND",,View,,
N8193,MRP PROPERTIES LLC-SOIL REMEDIATION,29030 NORTHWESTERN HIGHWAY,SOUTHFIELD,"48034
OAKLAND",,View,,
P0113,SPEEDWAY SUPERAMERICA LLC (SSA #8852),22599 TELEGRAPH RD,SOUTHFIELD,"48034
OAKLAND",,View,,
N6689,TAMAROFF BUICK HONDA INC,28587 TELEGRAPH ROAD,SOUTHFIELD,"48034
OAKLAND",View,,,
B5779,UNITED PAINT & CHEMICAL CORP,24671 TELEGRAPH RD,SOUTHFIELD,"48034
OAKLAND",View,,,
N6594,X-CEL INDUSTRIES INC.,21121 TELEGRAPH RD,SOUTHFIELD,"48034
OAKLAND",View,View,,
M4226,"BEST FRIENDS PET CARE, INC.",33711 HARPER AVE,CLINTON TWP,"48035
MACOMB",,View,,
EN5000135,BRITE CLEANERS,36549 GRATIOT AVENUE,CLINTON TWP,"48035
MACOMB",View,,,
B6067,"CHIEFTAIN COATING, LLC.",35300 KELLY RD.,CLINTON TWP,"48035
MACOMB",View,View,,
M4284,COMFORT-TEMP HEATING & COOLING,22931 14 MILE RD,CLINTON TWP,"48035
MACOMB",View,,,
N7548,"DETROIT WILBERT CREMATION SERVICES EAST, LLC",44481 GROESBECK HWY,CLINTON TWP,"48035
MACOMB",View,View,,
P1223,"EASTSIDE METALS, LLC",34610 NOVA DRIVE,CLINTON TWP,"48035
MACOMB",,View,,
,,EGLE Air Quality Division Source Master List Sorted By ZIP Code,,,,,,
Source ID,Company,Address,City,ZIP Code County,Other* ROP,PTI,,
N1814,JVIS USA LLC,34501 HARPER,CLINTON TWP,"48035
MACOMB",View,,,
N7496,LINCOLN MEMORIAL PK CEMETERY,21661 FOURTEEN MILE RD.,CLINTON TWP,"48035
MACOMB",View,View,,
B6287,"MINI MIX SUPPLY CO., INC.",33600 KELLY RD.,CLINTON TWP,"48035
MACOMB",View,,,
N3306,OMEGA CABINETS INC,35468 GROESBECK,CLINTON TWP,"48035
MACOMB",View,,,
P0993,PET & ANIMAL CREMATION EXCHANGE,36419 GROESBECK HIGHWAY,CLINTON TWP,"48035
MACOMB",View,View,,
P1195,TENIBAC-GRAPHION INC,35155 AUTOMATION DRIVE,CLINTON TWP,"48035
MACOMB",,View,,
N5766,UNI-DIG INC,21600 QUINN RD,CLINTON TWP,"48035
MACOMB",,View,,
U501501390 A & D INDUSTRIES,,44645 MACOMB INDUSTRIAL DRIVE,CLINTON TOWSHIP,"48036
MACOMB",View,,,
N5342,AMOCO OIL CO,44975 GRATIOT AVE,CLINTON TWP,"48036
MACOMB",View,,,
N6760,"D & B METAL FINISHINGS, LLC",22803 PATMORE ST,CLINTON TWP,"48036
MACOMB",View,View,,
N7369,INTERNATIONAL MOLD CORPORATION,23224 GIACOMA COURT,CLINTON TWP,"48036
MACOMB",View,View,,
M3511,MACOMB COUNTY ANIMAL CONTROL,21417 DUNHAM,CLINTON TWP,"48036
MACOMB",View,,,
N7438,PLAST-O-FOAM LLC,24601 CAPITAL BLVD,CLINTON TWP,"48036
MACOMB",View,,,
P0808,ROSATI SPECIALTIES,24200 CAPITAL BLVD.,CLINTON TWP,"48036
MACOMB",View,View,,
N5767,TWEDDLE GROUP,24700 MAPLEHURST,CLINTON TWP,"48036
MACOMB",,View,,
N3601,NIPPON PAINT COLOR DESIGN,44382 MACOMB IND DR,MOUNT CLEMENS,"48036
MACOMB",View,,,
U631707525 BENDIX CORP,,21283 BRIDGE ST.,SOUTHFIELD,"48037
OAKLAND",View,,,
EN5000133,4 SEASONS DRY CLEANERS,42131 GARFIELD,CLINTON TWP,"48038
MACOMB",View,,,
N3686,"DIVERSIFIED FABRICATORS, INC.",21482 CARLO DR,CLINTON TWP,"48038
MACOMB",View,View,,
B6010,"ELECTROPLATING INDUSTRIES,  INC",21410 CARLO DRIVE,CLINTON TWP,"48038
MACOMB",View,,,
N7745,RESSURRECTION CEMETERY-CREMATORY,18201 CLINTON RIVER RD,CLINTON TWP,"48038
MACOMB",View,View,,
M3517,HENRY FORD HEALTH SYSTEM,15855 19 MILE,MOUNT CLEMENS,"48038
MACOMB",View,View,,
B7583,"BLUE WATER OIL COMPANY, INC.",263 BELLE RIVER AVENUE,MARINE CITY,"48039
SAINT CLAIR",View,,,
N6794,MICHIGAN FOAM AND FABRICATION,1300 S PARKER ST,MARINE CITY,"48039
SAINT CLAIR",View,,,
N7219,TRANSMISSION PHYSICIANS INC.,2100 PLANK RD.,MARINE CITY,"48039
SAINT CLAIR",,View,,
N6317,SEMCO ENERGY GAS COMPANY - COLLIN FIELD,ANGLING RD,STARRVILLE,"48039
SAINT CLAIR",View,View,,
N5926,ADMIRAL GAS STATION,795 GRATIOT AVE,MARYSVILLE,"48040
SAINT CLAIR",View,,,
N1583,BUSHA MOTOR,500 E HURON BLVD,MARYSVILLE,"48040
SAINT CLAIR",View,,,
B2813,"CDC MARYSVILLE, LLC",301  GRATIOT BLVD,MARYSVILLE,"48040
SAINT CLAIR",View,,,
N0871,"CONFORMANCE COATING AND PROTOTYPE, INC",2321  BUSHA HWY,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
P0896,ENBRIDGE ENERGY,SE 1/4 NE 1/4 SEC 32,MARYSVILLE,"48040
SAINT CLAIR",View,,,
"U741600997 ENBRIDGE, INC.-MARYVILLE TAKE OFF METERING STATION",,256 MURPHY DRIVE,MARYSVILLE,"48040
SAINT CLAIR",View,,,
N1280,"FLINT HILLS RESOURCES MARYSVILLE, LLC",2701 S RANGE RD,MARYSVILLE,"48040
SAINT CLAIR",View,,,
B8824,"HEARTLAND STEEL PRODUCTS, LLC",302 CARLETON ST.,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
A6220,INTERTAPE POLYMER GROUP,317   KENDALL AVENUE,MARYSVILLE,"48040
SAINT CLAIR","View
View",,,
N7493,"MARYSVILLE ETHANOL, LLC",2512 BUSHA HIGHWAY,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
B4282,"MARYSVILLE HYDROCARBONS, LLC.",2510  BUSHA HIGHWAY,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
N6905,MUELLER IMPACTS COMPANY INC.,2409 WILLS STREET,MARYSVILLE,"48040
SAINT CLAIR",,View,,
U741608785 PAUMAC TUBING LLC,,315 CUTTLE ROAD,MARYSVILLE,"48040
SAINT CLAIR",View,,,
N6944,PREGIS,2700 WILLS STREET,MARYSVILLE,"48040
SAINT CLAIR","View
View",,,
U742102897 SEAWAY MOBILE HOME RANCH,,50 MACK AVENUE,MARYSVILLE,"48040
SAINT CLAIR",View,,,
N5989,SEMCO ENERGY GAS COMPANY - MORTON WELLS FACILITY,1100 GRATIOT AVE,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
N7411,"SMR AUTOMOTIVE SYSTEMS USA, INC.",1875 BUSHA HIGHWAY,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
N8239,"ST. CLAIR PACKAGING, INC.",2121 BUSHA HWY,MARYSVILLE,"48040
SAINT CLAIR",View,,,
B6646,SUNOCO PIPELINE L.P. -  MARYSVILLE PUMP STATION,250  MURPHY DRIVE,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
N5061,"TI FLUID SYSTEMS, (FORMERLY TI GROUP AUTO , MARYS)",170 - 184 GRATIOT BLVD,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
N3337,"WILKIE BROTHERS CONVEYORS, INC.",1765 MICHIGAN AVENUE,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
N7795,ZF AXLE DRIVES MARYSVILLE,2900 BUSHA HIGHWAY,MARYSVILLE,"48040
SAINT CLAIR",View,View,,
P0756,RC FILLMORE'S SANDBLASTING & PAINTING SPECIAL COAT,3390 RAVENSWOOD ROAD,PRT HURON TWP,"48040
SAINT CLAIR",View,,,
A3238,GRACE ENGINEERING,11501 LAMBS RD,MEMPHIS,"48041
SAINT CLAIR",,View,,
P0696,CINTAS CORPORATION,51518 QUADRATE DRIVE,MACOMB,"48042
MACOMB",View,View,,
B6638,CONSUMERS ENERGY ODORIZING STATION/MACOMB VALVE SI,55800 HAYES ROAD,MACOMB,"48042
MACOMB",View,,,
U501611367 DANLYN CONTROLS,,51410 MILANO DRIVE,MACOMB,"48042
MACOMB",View,,,
P0457,HICKS PLASTICS COMPANY LLC,51308 INDUSTRIAL DRIVE,MACOMB,"48042
MACOMB",View,View,,
U50110113,INTERNATIONAL FINISHING TECHNOLOGIES,51187 INDUSTRIAL DRIVE,MACOMB,"48042
MACOMB",View,,,
EN5000016,"MILLENNIUM CLEANERS, LLC",51050 HAYES ROAD,MACOMB,"48042
MACOMB",View,,,
N5656,NYLOK LLC,15260 HALLMARK COURT,MACOMB,"48042
MACOMB","View
View",,,
