source_id,doc_type,date,doc_url,name,zip_code,county,full_address,geometry
B6636,VN,2020-08-10,https://www.deq.state.mi.us/aps/downloads/SRN/B6636/B6636_VN_20200810.pdf,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
U502100242,VN,2021-06-22,https://www.deq.state.mi.us/aps/downloads/SRN/U502100242/U502100242_VN_20210622.pdf,FORMER BAKERY,48047,MACOMB,"51005 WASHINGTON, NEW BALTIMORE, MI","[-82.7352832, 42.67963750000001]"
U742103161,VN,2021-09-28,https://www.deq.state.mi.us/aps/downloads/SRN/U742103161/U742103161_VN_20210928.pdf,COMMERCIAL LOT,48082,SAINT CLAIR,"29103 HARPER, ST. CLAIR SHORES, MI","[-82.89852570000001, 42.508168]"
U631810776,VN,2019-02-15,https://www.deq.state.mi.us/aps/downloads/SRN/U631810776/U631810776_VN_20190215.pdf,RESIDENCE,48085,OAKLAND,"1750 ABBOTSFORD, TROY, MI","[-83.11654999999999, 42.601437]"
U501509175,VN,2015-09-02,https://www.deq.state.mi.us/aps/downloads/SRN/U501509175/U501509175_VN_20150902.pdf,CHATTERTON MIDDLE SCHOOL,48091,MACOMB,"24333 RYAN, WARREN, MI","[-83.0671777, 42.47200369999999]"
U501512796,VN,2015-12-18,https://www.deq.state.mi.us/aps/downloads/SRN/U501512796/U501512796_VN_20151218.pdf,ROAD WAY INN HOTEL    /  WOODHAVEN ENTERPRISES INC,48093,MACOMB,"32035 VANDYKE AVE, WARREN, MI","[-83.0301281, 42.529829]"
U471509357,VN,2016-03-18,https://www.deq.state.mi.us/aps/downloads/SRN/U471509357/U471509357_VN_20160318.pdf,PHOENIX POLYMER COMPOUNDING LLC,48116,LIVINGSTON,"7290 KENSINGTON ROAD, BRIGHTON, MI","[-83.689853, 42.4985355]"
U581706408,VN,2017-09-06,https://www.deq.state.mi.us/aps/downloads/SRN/U581706408/U581706408_VN_20170906.pdf,RAM INDUSTRIES,48117,MONROE,"14250 ROMAINE, CARLETON, MI","[-83.3611991, 42.0839186]"
U821707516,VN,2017-10-02,https://www.deq.state.mi.us/aps/downloads/SRN/U821707516/U821707516_VN_20171002.pdf,FORMER BIG BOY,48124,WAYNE,"13001 MICHIGAN AVE, DEARBORN, MI","[-83.1702178, 42.323518]"
U811905509,VN,2019-05-29,https://www.deq.state.mi.us/aps/downloads/SRN/U811905509/U811905509_VN_20190529.pdf,BULLION SALES INC.,48130,WASHTENAW,"8350 N TERRITORIAL ROAD, DEXTER, MI","[-83.9005219, 42.3861937]"
U821606386,VN,2016-05-27,https://www.deq.state.mi.us/aps/downloads/SRN/U821606386/U821606386_VN_20160527.pdf,PAR WICK PHARMACY,48180,WAYNE,"22350 WICK ROAD, TAYLOR, MI","[-83.2545106, 42.2416426]"
U581706430,VN,2017-09-06,https://www.deq.state.mi.us/aps/downloads/SRN/U581706430/U581706430_VN_20170906.pdf,CARLETON IRON & METALS,48197,MONROE,"116 PINE STREET, CARLETON, MI","[-83.3820273, 42.0636087]"
U811706525,VN,2017-08-30,https://www.deq.state.mi.us/aps/downloads/SRN/U811706525/U811706525_VN_20170830.pdf,A-1 AUTO SALVAGE & SCRAP,48198,WASHTENAW,"2574 STATE STREET, YPSILANTI, MI","[-83.558605, 42.224312]"
U821700029,VN,2017-01-13,https://www.deq.state.mi.us/aps/downloads/SRN/U821700029/U821700029_VN_20170113.pdf,APARTMENT BUILDING,48201,WAYNE,"2933 2ND AVENUE, DETROIT, MI","[-83.0614532, 42.3415032]"
U821902550,VN,2019-04-15,https://www.deq.state.mi.us/aps/downloads/SRN/U821902550/U821902550_VN_20190415.pdf,RESIDENCE,48203,WAYNE,"1141 E. NEVADA, DETROIT, MI","[-83.0913432, 42.425207]"
U821903360,VN,2019-04-15,https://www.deq.state.mi.us/aps/downloads/SRN/U821903360/U821903360_VN_20190415.pdf,RESIDENCE,48203,WAYNE,"18138 CARDONI ST, DETROIT, MI","[-83.0908023, 42.4269673]"
U821903368,VN,2019-04-15,https://www.deq.state.mi.us/aps/downloads/SRN/U821903368/U821903368_VN_20190415.pdf,RESIDENCE,48203,WAYNE,"1133 E. NEVADA ST, DETROIT, MI","[-83.09146799999999, 42.4251756]"
U822105064,VN,2021-11-18,https://www.deq.state.mi.us/aps/downloads/SRN/U822105064/U822105064_VN_20211118.pdf,KNACK BUILDING,48207,WAYNE,"3343-3347 GRATIOT AVENUE, DETROIT, MI","[-83.0276926, 42.3595196]"
U821706417,VN,2017-10-02,https://www.deq.state.mi.us/aps/downloads/SRN/U821706417/U821706417_VN_20171002.pdf,TIRE GARAGE,48210,WAYNE,"9208-12 MICHIGAN AVE, DETROIT, MI","[-83.1533106, 42.3288501]"
U822103774,VN,2021-11-30,https://www.deq.state.mi.us/aps/downloads/SRN/U822103774/U822103774_VN_20211130.pdf,APARTMENT BUILDING,48213,WAYNE,"5061-5071 LAKEWOOD ST., DETROIT, MI","[-82.9609936, 42.3957571]"
U821801450,VN,2019-02-15,https://www.deq.state.mi.us/aps/downloads/SRN/U821801450/U821801450_VN_20190215.pdf,VACANT PARTY STORE,48213,WAYNE,"10010 GRATIOT, DETROIT, MI","[-83.00421519999999, 42.39421189999999]"
U821801451,VN,2019-02-15,https://www.deq.state.mi.us/aps/downloads/SRN/U821801451/U821801451_VN_20190215.pdf,VACANT SALON,48213,WAYNE,"10020 GRATIOT, DETROIT, MI","[-83.00403349999999, 42.394304]"
U502105043,VN,2021-09-20,https://www.deq.state.mi.us/aps/downloads/SRN/U502105043/U502105043_VN_20210920.pdf,HERCULES CONCRETE LLC,48216,MACOMB,"6497 EAST 10 MILE ROAD, CENTER LINE, MI","[-83.037914, 42.4783649]"
U821811148,VN,2019-01-18,https://www.deq.state.mi.us/aps/downloads/SRN/U821811148/U821811148_VN_20190118.pdf,THE LECHAMBRE LOUNGE,48239,WAYNE,"14100 TELEGRAPH ROAD, DETROIT, MI","[-83.27480899999999, 42.3873491]"
U441508535,VN,2017-08-16,https://www.deq.state.mi.us/aps/downloads/SRN/U441508535/U441508535_VN_20170816.pdf,HOMER CONCRETE PRODUCTS,48416,LAPEER,"7015 ENTERPRISE DRIVE, BROWN CITY, MI","[-83.0785624, 43.249059]"
U441508535,VN,2017-09-28,https://www.deq.state.mi.us/aps/downloads/SRN/U441508535/U441508535_VN_20170928.pdf,HOMER CONCRETE PRODUCTS,48416,LAPEER,"7015 ENTERPRISE DRIVE, BROWN CITY, MI","[-83.0785624, 43.249059]"
U441508535,VN,2017-10-18,https://www.deq.state.mi.us/aps/downloads/SRN/U441508535/U441508535_VN_20171018.pdf,HOMER CONCRETE PRODUCTS,48416,LAPEER,"7015 ENTERPRISE DRIVE, BROWN CITY, MI","[-83.0785624, 43.249059]"
U762103183,VN,2021-07-01,https://www.deq.state.mi.us/aps/downloads/SRN/U762103183/U762103183_VN_20210701.pdf,CITY OF CROSWELL,48422,SANILAC,"PARCEL ID #310-220-003-015-00, CROSWELL, MI","[-82.61347839999999, 43.2641145]"
U762103183,VN,2021-07-16,https://www.deq.state.mi.us/aps/downloads/SRN/U762103183/U762103183_VN_20210716.pdf,CITY OF CROSWELL,48422,SANILAC,"PARCEL ID #310-220-003-015-00, CROSWELL, MI","[-82.61347839999999, 43.2641145]"
U761701182,VN,2017-03-02,https://www.deq.state.mi.us/aps/downloads/SRN/U761701182/U761701182_VN_20170302.pdf,PALMER FARMS INC.,48427,SANILAC,"2779 RUTH ROAD, DECKERVILLE, MI","[-82.7342741, 43.5055217]"
U441708621,VN,2017-11-28,https://www.deq.state.mi.us/aps/downloads/SRN/U441708621/U441708621_VN_20171128.pdf,SUMMERS ROAD GRAVEL & DEV./NOVAK'S SUPPLY & EQUIP,48444,LAPEER,"1220 SUMMERS ROAD GRAVEL PIT, IMLAY CITY, MI","[-83.1076435, 43.0272837]"
U441708621,VN,2018-01-08,https://www.deq.state.mi.us/aps/downloads/SRN/U441708621/U441708621_VN_20180108.pdf,SUMMERS ROAD GRAVEL & DEV./NOVAK'S SUPPLY & EQUIP,48444,LAPEER,"1220 SUMMERS ROAD GRAVEL PIT, IMLAY CITY, MI","[-83.1076435, 43.0272837]"
U761603049,VN,2016-07-12,https://www.deq.state.mi.us/aps/downloads/SRN/U761603049/U761603049_VN_20160712.pdf,SAFETY ENGINEERING LABS,48454,SANILAC,"7650 DUQUETTE RD, MELVIN, MI","[-82.7834965, 43.1995846]"
U251802280,VN,2018-07-10,https://www.deq.state.mi.us/aps/downloads/SRN/U251802280/U251802280_VN_20180710.pdf,ARISTEO INSTALLATION LLC,48457,GENESEE,"11341 VIENNA ROAD, MONTROSE, MI","[-83.90584799999999, 43.17548410000001]"
U251512119,VN,2021-11-01,https://www.deq.state.mi.us/aps/downloads/SRN/U251512119/U251512119_VN_20211101.pdf,GENESEE RECYCLING,48505,GENESEE,"G-5107 N. DORT HIGHWAY, FLINT, MI","[-83.6746886, 43.0788667]"
U732001366,VN,2020-04-21,https://www.deq.state.mi.us/aps/downloads/SRN/U732001366/U732001366_VN_20200421.pdf,SAGINAW VILLAS MHP,48601,SAGINAW,"4141 DIXIE HWY, SAGINAW, MI","[-83.907731, 43.3946339]"
U731509073,VN,2015-09-25,https://www.deq.state.mi.us/aps/downloads/SRN/U731509073/U731509073_VN_20150925.pdf,SAGINAW COUNTY LAND BANK,48602,SAGINAW,"2828 N. MICHIGAN AVE, SAGINAW, MI","[-83.9496489, 43.4460961]"
U731702262,VN,2017-04-04,https://www.deq.state.mi.us/aps/downloads/SRN/U731702262/U731702262_VN_20170404.pdf,ENGEL'S AUTO BODY & SALES,48604,SAGINAW,"2800 NORTH MICHIGAN AVENUE, SAGINAW, MI","[-83.9494318, 43.4457377]"
U731807626,VN,2018-09-18,https://www.deq.state.mi.us/aps/downloads/SRN/U731807626/U731807626_VN_20180918.pdf,MURRAY PAINTING COMPANY,48623,SAGINAW,"6078 HACKETT ROAD, FREELAND, MI","[-84.07104059999999, 43.4958733]"
U262104352,VN,2021-08-20,https://www.deq.state.mi.us/aps/downloads/SRN/U262104352/U262104352_VN_20210820.pdf,AMERIHEMP INC,48624,GLADWIN,"4950 W M61, GLADWIN, MI","[-84.5636791, 43.9867076]"
U651907799,VN,2019-08-14,https://www.deq.state.mi.us/aps/downloads/SRN/U651907799/U651907799_VN_20190814.pdf,CRAWFORD SAND & GRAVEL,48661,OGEMAW,"320 FAIRVIEW ROAD, WEST BRANCH, MI","[-84.225875, 44.2812]"
B7625,VN,2019-03-25,https://www.deq.state.mi.us/aps/downloads/SRN/B7625/B7625_VN_20190325.pdf,LAFATA ENTERPRISES INC.,48315,MACOMB,"50905 HAYES RD., SHELBY TWP, MI","[-82.9756093, 42.6695354]"
U791904069,VN,2019-04-16,https://www.deq.state.mi.us/aps/downloads/SRN/U791904069/U791904069_VN_20190416.pdf,FORMER COMMERCIAL BUILDING,48723,TUSCOLA,"1103 E. CARO RD., CARO, MI","[-83.3837592, 43.498883]"
U791904069,VN,2019-04-17,https://www.deq.state.mi.us/aps/downloads/SRN/U791904069/U791904069_VN_20190417.pdf,FORMER COMMERCIAL BUILDING,48723,TUSCOLA,"1103 E. CARO RD., CARO, MI","[-83.3837592, 43.498883]"
U731802383,VN,2018-05-02,https://www.deq.state.mi.us/aps/downloads/SRN/U731802383/U731802383_VN_20180502.pdf,"DAVE HAUSBACK TRUCKING, INC. (DHT)",48757,SAGINAW,"2695 WEST VASSAR ROAD, REESE, MI","[-83.753984, 43.4459318]"
U331706491,VN,2017-09-07,https://www.deq.state.mi.us/aps/downloads/SRN/U331706491/U331706491_VN_20170907.pdf,"SUNRISE AGGREGATE, LLC",48819,INGHAM,"APPROX. 2110 CARTER ROAD, DANSVILLE, MI","[-84.27526499999999, 42.534945]"
U331706491,VN,2020-04-24,https://www.deq.state.mi.us/aps/downloads/SRN/U331706491/U331706491_VN_20200424.pdf,"SUNRISE AGGREGATE, LLC",48819,INGHAM,"APPROX. 2110 CARTER ROAD, DANSVILLE, MI","[-84.27526499999999, 42.534945]"
U191612206,VN,2017-10-06,https://www.deq.state.mi.us/aps/downloads/SRN/U191612206/U191612206_VN_20171006.pdf,BNM TRAILERS,48831,CLINTON,"7577 N HOLLISTER RD, ELSIE, MI","[-84.3878175, 43.0971172]"
U191612206,VN,2017-12-15,https://www.deq.state.mi.us/aps/downloads/SRN/U191612206/U191612206_VN_20171215.pdf,BNM TRAILERS,48831,CLINTON,"7577 N HOLLISTER RD, ELSIE, MI","[-84.3878175, 43.0971172]"
U191612206,VN,2018-09-17,https://www.deq.state.mi.us/aps/downloads/SRN/U191612206/U191612206_VN_20180917.pdf,BNM TRAILERS,48831,CLINTON,"7577 N HOLLISTER RD, ELSIE, MI","[-84.3878175, 43.0971172]"
U191612206,VN,2018-10-09,https://www.deq.state.mi.us/aps/downloads/SRN/U191612206/U191612206_VN_20181009.pdf,BNM TRAILERS,48831,CLINTON,"7577 N HOLLISTER RD, ELSIE, MI","[-84.3878175, 43.0971172]"
U292100113,VN,2021-01-12,https://www.deq.state.mi.us/aps/downloads/SRN/U292100113/U292100113_VN_20210112.pdf,BRUCE WALDRON EXCAVATING INC.,48832,GRATIOT,"8340 PARKS RD., ELWELL, MI","[-84.7733841, 43.4592075]"
U331513570,VN,2016-01-04,https://www.deq.state.mi.us/aps/downloads/SRN/U331513570/U331513570_VN_20160104.pdf,BOOKSHELF BOOKSTORE,48841,INGHAM,"2415 NORTH CEDAR ST, HOLT, MI","[-84.5297346, 42.651461]"
U471706939,VN,2017-12-20,https://www.deq.state.mi.us/aps/downloads/SRN/U471706939/U471706939_VN_20171220.pdf,HOWELL LANDSCAPE SUPPLIES,48843,LIVINGSTON,"2971 PINCKNEY ROAD, HOWELL, MI","[-83.93114659999999, 42.5544755]"
U471706939,VN,2018-03-14,https://www.deq.state.mi.us/aps/downloads/SRN/U471706939/U471706939_VN_20180314.pdf,HOWELL LANDSCAPE SUPPLIES,48843,LIVINGSTON,"2971 PINCKNEY ROAD, HOWELL, MI","[-83.93114659999999, 42.5544755]"
U341600345,VN,2016-01-21,https://www.deq.state.mi.us/aps/downloads/SRN/U341600345/U341600345_VN_20160121.pdf,GOLDEN GRAIN FARMS,48846,IONIA,"DICK ROAD, IONIA, MI","[-85.104511, 43.023671]"
U342002994,VN,2020-09-16,https://www.deq.state.mi.us/aps/downloads/SRN/U342002994/U342002994_VN_20200916.pdf,WOLBERS POSSEHN,48846,IONIA,"1276 N. STATE ROAD, IONIA, MI","[-85.074638, 43.0061182]"
U291701964,VN,2017-06-12,https://www.deq.state.mi.us/aps/downloads/SRN/U291701964/U291701964_VN_20170612.pdf,C & S STEEL,48847,GRATIOT,"301 INDUSTRIAL PARKWAY, ITHACA, MI","[-84.59163389999999, 43.2961982]"
U341504733,VN,2015-07-06,https://www.deq.state.mi.us/aps/downloads/SRN/U341504733/U341504733_VN_20150706.PDF,PREMIUM MACHINE  AND TOOL,48851,IONIA,"207 WATER STREET, LYONS, MI","[-84.9463928, 42.9825854]"
U471700150,VN,2017-01-27,https://www.deq.state.mi.us/aps/downloads/SRN/U471700150/U471700150_VN_20170127.pdf,PRECISE FINISHING,48855,LIVINGSTON,"1650 N. BURKHART ROAD, HOWELL, MI","[-83.99308780000001, 42.6234442]"
U591900358,VN,2019-01-11,https://www.deq.state.mi.us/aps/downloads/SRN/U591900358/U591900358_VN_20190111.pdf,M-57 AUTOBODY,48884,MONTCALM,"1608 E CARSON CITY ROAD, SHERIDAN, MI","[-85.0424917, 43.1767689]"
U331801915,VN,2018-04-04,https://www.deq.state.mi.us/aps/downloads/SRN/U331801915/U331801915_VN_20180404.pdf,XG SCIENCES,48910,INGHAM,"2100 S WASHINGTON AVENUE, LANSING, MI","[-84.5556639, 42.71012899999999]"
U331513208,VN,2015-12-18,https://www.deq.state.mi.us/aps/downloads/SRN/U331513208/U331513208_VN_20151218.pdf,FORMER DAYS INN AND BANQUET CENTER,48917,INGHAM,"7711 WEST SAGINAW HWY, LANSING, MI","[-84.662706, 42.7400576]"
U392104800,VN,2021-09-07,https://www.deq.state.mi.us/aps/downloads/SRN/U392104800/U392104800_VN_20210907.pdf,BEAVER RESEARCH COMPANY,49002,KALAMAZOO,"3700 E. KILGORE ROAD, PORTAGE, MI","[-85.53442659999999, 42.244317]"
U391608716,VN,2016-07-28,https://www.deq.state.mi.us/aps/downloads/SRN/U391608716/U391608716_VN_20160728.pdf,QUALITY PRECAST INC.,49004,KALAMAZOO,"3815 N WESTNEDGE AVENUE, KALAMAZOO, MI","[-85.59097369999999, 42.3283227]"
U391608716,VN,2017-06-26,https://www.deq.state.mi.us/aps/downloads/SRN/U391608716/U391608716_VN_20170626.pdf,QUALITY PRECAST INC.,49004,KALAMAZOO,"3815 N WESTNEDGE AVENUE, KALAMAZOO, MI","[-85.59097369999999, 42.3283227]"
U391805257,VN,2018-10-15,https://www.deq.state.mi.us/aps/downloads/SRN/U391805257/U391805257_VN_20181015.pdf,DIAPERS UNLIMITED: DYDEE SERVICE,49007,KALAMAZOO,"814 NOLA STREET, KALAMAZOO, MI","[-85.59569499999999, 42.2986446]"
U392105548,VN,2021-10-13,https://www.deq.state.mi.us/aps/downloads/SRN/U392105548/U392105548_VN_20211013.pdf,FORMER GAS STATION,49008,KALAMAZOO,"3821 STADIUM DRIVE, KALAMAZOO, MI","[-85.63670239999999, 42.2708136]"
U391502444,VN,2015-06-23,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20150623.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2015-07-07,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20150707.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2015-07-20,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20150720.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2015-08-04,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20150804.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2015-08-17,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20150817.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2015-11-06,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20151106.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2015-12-15,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20151215.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2016-03-08,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20160308.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2016-03-11,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20160311.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2016-10-19,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20161019.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2016-10-20,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20161020.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2016-10-21,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20161021.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2016-11-15,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20161115.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U391502444,VN,2016-11-21,https://www.deq.state.mi.us/aps/downloads/SRN/U391502444/U391502444_VN_20161121.pdf,GREAT LAKES TRAILER WASHOUT,49009,KALAMAZOO,"8178 NEPTUNE DRIVE, KALAMAZOO, MI","[-85.65238049999999, 42.3789639]"
U112103163,VN,2021-06-28,https://www.deq.state.mi.us/aps/downloads/SRN/U112103163/U112103163_VN_20210628.pdf,BLUEWATER THERMAL SOLUTIONS,49022,BERRIEN,"800 S. FAIR STREET, BENTON HARBOR, MI","[-86.43723469999999, 42.1032078]"
U112000929,VN,2020-03-06,https://www.deq.state.mi.us/aps/downloads/SRN/U112000929/U112000929_VN_20200306.pdf,SMITH MFG. COMPANY,49022,BERRIEN,"1636 RED ARRROW HIGHWAY, BENTON HARBOR, MI","[-86.4190867, 42.1249783]"
U391900031,VN,2019-01-02,https://www.deq.state.mi.us/aps/downloads/SRN/U391900031/U391900031_VN_20190102.pdf,W. L. MOLDING,49024,KALAMAZOO,"8212 SHAVER, PORTAGE, MI","[-85.59481099999999, 42.1982525]"
U132000981,VN,2020-03-09,https://www.deq.state.mi.us/aps/downloads/SRN/U132000981/U132000981_VN_20200309.pdf,AVENUE A MOBILE HOME PARK,49037,CALHOUN,"1267 AVENUE A, SPRINGFIELD, MI","[-85.2518158, 42.3255984]"
U141909882,VN,2019-10-25,https://www.deq.state.mi.us/aps/downloads/SRN/U141909882/U141909882_VN_20191025.pdf,"MOORE BROS. ENTERPRISES, INC.",49047,CASS,"58151 PARK PLACE, DOWAGIAC, MI","[-86.1566356, 41.9544662]"
U392100160,VN,2021-01-29,https://www.deq.state.mi.us/aps/downloads/SRN/U392100160/U392100160_VN_20210129.pdf,KALAMAZOO SANDBLAST,49048,KALAMAZOO,"6565 E. K AVENUE, KALAMAZOO, MI","[-85.50115, 42.2889493]"
U392100160,VN,2021-04-15,https://www.deq.state.mi.us/aps/downloads/SRN/U392100160/U392100160_VN_20210415.pdf,KALAMAZOO SANDBLAST,49048,KALAMAZOO,"6565 E. K AVENUE, KALAMAZOO, MI","[-85.50115, 42.2889493]"
U391611142,VN,2016-11-02,https://www.deq.state.mi.us/aps/downloads/SRN/U391611142/U391611142_VN_20161102.pdf,SPECIALTY BLASTING LLC,49048,KALAMAZOO,"5501 KING HIGHWAY, KALAMAZOO, MI","[-85.5219955, 42.2869975]"
U801903680,VN,2019-04-02,https://www.deq.state.mi.us/aps/downloads/SRN/U801903680/U801903680_VN_20190402.pdf,PILLAR MANUFACTURING,49055,VAN BUREN,"35620 CR 388, GOBLES, MI","[-85.8955682, 42.3616432]"
U142000055,VN,2020-01-07,https://www.deq.state.mi.us/aps/downloads/SRN/U142000055/U142000055_VN_20200107.pdf,"PINE CONE RECYCLING, LLC",49061,CASS,"61200-61498 WOODLAKE RD, JONES, MI","[-85.780355, 41.9075663]"
U801602289,VN,2016-03-18,https://www.deq.state.mi.us/aps/downloads/SRN/U801602289/U801602289_VN_20160318.pdf,ENERGY SUPPLIERS,49065,VAN BUREN,"73309 M-40, LAWTON, MI","[-85.8482514, 42.1516424]"
U031902139,VN,2019-03-06,https://www.deq.state.mi.us/aps/downloads/SRN/U031902139/U031902139_VN_20190306.pdf,"CAMFAB, INC.",49070,ALLEGAN,"643 112TH AVENUE, MARTIN, MI","[-85.6066026, 42.5090231]"
U032004100,VN,2020-11-24,https://www.deq.state.mi.us/aps/downloads/SRN/U032004100/U032004100_VN_20201124.pdf,TOTAL PROPERTY MANAGEMENT,49080,ALLEGAN,"954 EAST BRIDGE STREET, PLAINWELL, MI","[-85.62698549999999, 42.4426659]"
U391809600,VN,2018-11-01,https://www.deq.state.mi.us/aps/downloads/SRN/U391809600/U391809600_VN_20181101.pdf,TLR COATINGS,49088,KALAMAZOO,"6275 S. 26TH STREET, SCOTTS, MI","[-85.50390469999999, 42.2262091]"
