source_id,doc_type,date,doc_url,id,name,zip_code,county,full_address,geometry
B8878,RVN,2020-01-15,https://www.deq.state.mi.us/aps/downloads/SRN/B8878/B8878_RVN_20200115.pdf,B8878,COOPER FOUNDRY INC.,49009,KALAMAZOO,"8216 DOUGLAS AVE, KALAMAZOO, MI","[-85.6099768, 42.3796287]"
B8878,SAR,2019-12-19,https://www.deq.state.mi.us/aps/downloads/SRN/B8878/B8878_SAR_20191219.pdf,B8878,COOPER FOUNDRY INC.,49009,KALAMAZOO,"8216 DOUGLAS AVE, KALAMAZOO, MI","[-85.6099768, 42.3796287]"
B8878,VN,2019-12-19,https://www.deq.state.mi.us/aps/downloads/SRN/B8878/B8878_VN_20191219.pdf,B8878,COOPER FOUNDRY INC.,49009,KALAMAZOO,"8216 DOUGLAS AVE, KALAMAZOO, MI","[-85.6099768, 42.3796287]"
A2110,SAR,2016-03-08,https://www.deq.state.mi.us/aps/downloads/SRN/A2110/A2110_SAR_20160308.pdf,A2110,PRAB CONVEYORS,49002,KALAMAZOO,"5944 E KILGORE RD, KALAMAZOO, MI","[-85.5308769, 42.244931]"
N8227,SAR,2016-11-09,https://www.deq.state.mi.us/aps/downloads/SRN/N8227/N8227_SAR_20161109.pdf,N8227,R L SCHMITT CO INC,48150,WAYNE,"34506 GLENDALE, LIVONIA, MI","[-83.38373829999999, 42.3776229]"
U60060087,SAR,2017-10-24,https://www.deq.state.mi.us/aps/downloads/SRN/U60060087/U60060087_SAR_20171024.pdf,U60060087,UNKNOWN,48458,MONTMORENCY,"MONTMORENCY COUNTY, MONTMORENCY, MI","[-84.1403141, 45.07427939999999]"
B5766,SAR,2019-11-07,https://www.deq.state.mi.us/aps/downloads/SRN/B5766/B5766_SAR_20191107.pdf,B5766,MINISTRELLI CONSTRUCTION CO,48374,OAKLAND,"MINISTRELLI CONSTRUCTION CO, NOVI, MI","[-83.3494463, 42.5675961]"
U69060095,SAR,2018-06-20,https://www.deq.state.mi.us/aps/downloads/SRN/U69060095/U69060095_SAR_20180620.pdf,U69060095,UNKNOWN,49795,OTSEGO,"OTSEGO COUNTY, OTSEGO, MI","[-84.6482398, 45.0992063]"
U69060095,SAR,2018-12-07,https://www.deq.state.mi.us/aps/downloads/SRN/U69060095/U69060095_SAR_20181207.pdf,U69060095,UNKNOWN,49795,OTSEGO,"OTSEGO COUNTY, OTSEGO, MI","[-84.6482398, 45.0992063]"
U69060095,SAR,2019-04-24,https://www.deq.state.mi.us/aps/downloads/SRN/U69060095/U69060095_SAR_20190424.pdf,U69060095,UNKNOWN,49795,OTSEGO,"OTSEGO COUNTY, OTSEGO, MI","[-84.6482398, 45.0992063]"
U69060095,SAR,2019-10-15,https://www.deq.state.mi.us/aps/downloads/SRN/U69060095/U69060095_SAR_20191015.pdf,U69060095,UNKNOWN,49795,OTSEGO,"OTSEGO COUNTY, OTSEGO, MI","[-84.6482398, 45.0992063]"
N7834,FCE,2017-01-12,https://www.deq.state.mi.us/aps/downloads/SRN/N7834/N7834_FCE_20170112.pdf,N7834,"MUSKEGON DEVELOPMENT, OTSEGO LAKE FACILITY",49601,OTSEGO,"SW 1/4 NE 1/4 SW 1/4 SEC 6, OTSEGO LAKE, MI","[-84.69252999999999, 44.9169578]"
N7834,SAR,2017-01-11,https://www.deq.state.mi.us/aps/downloads/SRN/N7834/N7834_SAR_20170111.pdf,N7834,"MUSKEGON DEVELOPMENT, OTSEGO LAKE FACILITY",49601,OTSEGO,"SW 1/4 NE 1/4 SW 1/4 SEC 6, OTSEGO LAKE, MI","[-84.69252999999999, 44.9169578]"
N7834,SAR,2020-07-21,https://www.deq.state.mi.us/aps/downloads/SRN/N7834/N7834_SAR_20200721.pdf,N7834,"MUSKEGON DEVELOPMENT, OTSEGO LAKE FACILITY",49601,OTSEGO,"SW 1/4 NE 1/4 SW 1/4 SEC 6, OTSEGO LAKE, MI","[-84.69252999999999, 44.9169578]"
A2098,SAR,2018-01-08,https://www.deq.state.mi.us/aps/downloads/SRN/A2098/A2098_SAR_20180108.pdf,A2098,SAPA ALUMINUM,49004,KALAMAZOO,"5575 N RIVERVIEW, PARCHMENT, MI","[-85.5603112, 42.3428891]"
B4721,SAR,2014-08-22,https://www.deq.state.mi.us/aps/downloads/SRN/B4721/B4721_SAR_20140822.pdf,B4721,MULTI FEED INC,48170,WAYNE,"16350 NORTHVILLE RD, PLYMOUTH, MI","[-83.4687105, 42.405741]"
N4961,SAR,2021-03-01,https://www.deq.state.mi.us/aps/downloads/SRN/N4961/N4961_SAR_20210301.pdf,N4961,JOHNSTON LITHOGRAPH INC.,48174,WAYNE,"11334 HUNT ST, ROMULUS, MI","[-83.3947, 42.2182419]"
A8266,SAR,2017-09-27,https://www.deq.state.mi.us/aps/downloads/SRN/A8266/A8266_SAR_20170927.pdf,A8266,SAINT GOBIAN ABRASIVES,48174,WAYNE,"27588 NORTHLINE RD, ROMULUS, MI","[-83.3093706, 42.2106883]"
N8190,SAR,2018-11-14,https://www.deq.state.mi.us/aps/downloads/SRN/N8190/N8190_SAR_20181114.pdf,N8190,HILDEN OIL CO - HAMILTON GAS PLANT,48878,ISABELLA,"T 15 N R 14 W   SECTION 18  ISABELLA TWP, ROSEBUSH, MI","[-84.7677927, 43.6991954]"
B7514,SAR,2021-06-03,https://www.deq.state.mi.us/aps/downloads/SRN/B7514/B7514_SAR_20210603.pdf,B7514,"ST. MARYS CEMENT, INC",49087,KALAMAZOO,"640 E SOUTH ST, SCHOOLCRAFT, MI","[-85.6334428, 42.109299]"
U632100200,ASBVN,2021-01-22,https://www.deq.state.mi.us/aps/downloads/SRN/U632100200/U632100200_ASBVN_20210122.pdf,U632100200,FORMER LUMBER YARD,48083,OAKLAND,"1258 ROCHESTER RD, TROY, MI","[-83.1307641, 42.5449405]"
M4092,SAR,2017-01-19,https://www.deq.state.mi.us/aps/downloads/SRN/M4092/M4092_SAR_20170119.pdf,M4092,DETROIT LEAD PIPE WORKS INC,48238,WAYNE,"7001 LYNDON, DETROIT, MI","[-83.1414047, 42.3951198]"
N2689,FCE,2016-07-26,https://www.deq.state.mi.us/aps/downloads/SRN/N2689/N2689_FCE_20160726.pdf,N2689,VIENNA JUNCTION LANDFILL,48133,MONROE,"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
N2689,FCE,2018-07-11,https://www.deq.state.mi.us/aps/downloads/SRN/N2689/N2689_FCE_20180711.pdf,N2689,VIENNA JUNCTION LANDFILL,48133,MONROE,"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
N2689,FCE,2020-06-17,https://www.deq.state.mi.us/aps/downloads/SRN/N2689/N2689_FCE_20200617.pdf,N2689,VIENNA JUNCTION LANDFILL,48133,MONROE,"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
N2689,SAR,2016-07-26,https://www.deq.state.mi.us/aps/downloads/SRN/N2689/N2689_SAR_20160726.pdf,N2689,VIENNA JUNCTION LANDFILL,48133,MONROE,"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
N2689,SAR,2018-07-11,https://www.deq.state.mi.us/aps/downloads/SRN/N2689/N2689_SAR_20180711.pdf,N2689,VIENNA JUNCTION LANDFILL,48133,MONROE,"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
N2689,SAR,2020-06-17,https://www.deq.state.mi.us/aps/downloads/SRN/N2689/N2689_SAR_20200617.pdf,N2689,VIENNA JUNCTION LANDFILL,48133,MONROE,"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
N2689,TEST,2020-09-16,https://www.deq.state.mi.us/aps/downloads/SRN/N2689/N2689_TEST_20200916.pdf,N2689,VIENNA JUNCTION LANDFILL,48133,MONROE,"6233 HAGMAN RD, ERIE, MI","[-83.51335309999999, 41.7343661]"
N8048,SAR,2015-04-08,https://www.deq.state.mi.us/aps/downloads/SRN/N8048/N8048_SAR_20150408.pdf,N8048,SPEEDWAY SUPERAMERICA (SSA 5543),48382,OAKLAND,"8185 COMMERCE RD, COMMERCE TWP, MI","[-83.44513169999999, 42.5921342]"
N8096,SAR,2016-08-30,https://www.deq.state.mi.us/aps/downloads/SRN/N8096/N8096_SAR_20160830.pdf,N8096,SPEEDWAY SUPERAMERICA LLC (REM SITE SSA 8754),48501,GENESEE,"G-3416 W PIERSON RD, FLINT, MI","[-83.7490474, 43.0609814]"
A6260,SAR,2014-08-27,https://www.deq.state.mi.us/aps/downloads/SRN/A6260/A6260_SAR_20140827.pdf,A6260,ALGONAC CAST PRODUCTS INC,48001,SAINT CLAIR,"9300 STONE ROAD, ALGONAC, MI","[-82.54572189999999, 42.6299997]"
N8094,SAR,2018-07-18,https://www.deq.state.mi.us/aps/downloads/SRN/N8094/N8094_SAR_20180718.pdf,N8094,SPEEDWAY SUPERAMERICA LLC (REM SITE SSA 8702),48001,SAINT CLAIR,"440 POINTE TREMBLE RD, ALGONAC, MI","[-82.5371631, 42.6138238]"
N6769,SAR,2015-04-16,https://www.deq.state.mi.us/aps/downloads/SRN/N6769/N6769_SAR_20150416.pdf,N6769,SUNSATION PRODUCTS INC,48001,SAINT CLAIR,"9635 KRETZ DR, ALGONAC, MI","[-82.5700738, 42.6222489]"
N6769,SAR,2020-07-29,https://www.deq.state.mi.us/aps/downloads/SRN/N6769/N6769_SAR_20200729.pdf,N6769,SUNSATION PRODUCTS INC,48001,SAINT CLAIR,"9635 KRETZ DR, ALGONAC, MI","[-82.5700738, 42.6222489]"
U741802378,ASBVN,2018-05-02,https://www.deq.state.mi.us/aps/downloads/SRN/U741802378/U741802378_ASBVN_20180502.pdf,U741802378,FORMER RESTAURANT,48001,SAINT CLAIR,"4219 POINTE TREMBLE ROAD, CLAY TOWNSHIP, MI","[-82.56713599999999, 42.620197]"
P1030,RVN,2019-09-09,https://www.deq.state.mi.us/aps/downloads/SRN/P1030/P1030_RVN_20190909.pdf,P1030,"MCCOIG MATERIALS, LLC",48001,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI","[-83.10444849999999, 42.2901586]"
P1030,SAR,2019-06-03,https://www.deq.state.mi.us/aps/downloads/SRN/P1030/P1030_SAR_20190603.pdf,P1030,"MCCOIG MATERIALS, LLC",48001,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI","[-83.10444849999999, 42.2901586]"
P1030,VN,2019-08-21,https://www.deq.state.mi.us/aps/downloads/SRN/P1030/P1030_VN_20190821.pdf,P1030,"MCCOIG MATERIALS, LLC",48001,WAYNE,"1441 SPRINGWELLS COURT, DETROIT, MI","[-83.10444849999999, 42.2901586]"
P1001,SAR,2020-08-18,https://www.deq.state.mi.us/aps/downloads/SRN/P1001/P1001_SAR_20200818.pdf,P1001,"SC ENVIRONMENTAL SERVICES, LLC",48001,OAKLAND,"12166 DIXIE HIGHWAY, HOLLY, MI","[-83.578266, 42.852728]"
P1029,SAR,2021-08-18,https://www.deq.state.mi.us/aps/downloads/SRN/P1029/P1029_SAR_20210818.pdf,P1029,HAVILAND PRODUCTS COMPANY,48001,KALAMAZOO,"2722 NORTH BURDICK STREET, KALAMAZOO, MI","[-85.5831575, 42.318596]"
P0998,SAR,2019-08-05,https://www.deq.state.mi.us/aps/downloads/SRN/P0998/P0998_SAR_20190805.pdf,P0998,MI GRAVEL DBA TCA MANAGEMENT LLC,48001,TUSCOLA,"10222 SHERIDAN ROAD, MILLINGTON, MI","[-83.482202, 43.2317725]"
P1091,SAR,2021-06-11,https://www.deq.state.mi.us/aps/downloads/SRN/P1091/P1091_SAR_20210611.pdf,P1091,EXOTIC RUBBER & PLASTICS,48001,OAKLAND,"53500 GRAND RIVER AVENUE, NEW HUDSON, MI","[-83.5813934, 42.5048647]"
P1112,RVN,2021-08-17,https://www.deq.state.mi.us/aps/downloads/SRN/P1112/P1112_RVN_20210817.pdf,P1112,"MAYZIE, INC. DBA PET PASSAGES",48001,OAKLAND,"4577 LAPEER ROAD, ORION TWP, MI","[-83.2413538, 42.7152162]"
P1112,SAR,2021-07-29,https://www.deq.state.mi.us/aps/downloads/SRN/P1112/P1112_SAR_20210729.pdf,P1112,"MAYZIE, INC. DBA PET PASSAGES",48001,OAKLAND,"4577 LAPEER ROAD, ORION TWP, MI","[-83.2413538, 42.7152162]"
P1112,VN,2021-08-10,https://www.deq.state.mi.us/aps/downloads/SRN/P1112/P1112_VN_20210810.pdf,P1112,"MAYZIE, INC. DBA PET PASSAGES",48001,OAKLAND,"4577 LAPEER ROAD, ORION TWP, MI","[-83.2413538, 42.7152162]"
P1000,RVN,2021-07-21,https://www.deq.state.mi.us/aps/downloads/SRN/P1000/P1000_RVN_20210721.pdf,P1000,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
P1000,SAR,2021-04-14,https://www.deq.state.mi.us/aps/downloads/SRN/P1000/P1000_SAR_20210414.pdf,P1000,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
P1000,TEST,2021-04-14,https://www.deq.state.mi.us/aps/downloads/SRN/P1000/P1000_TEST_20210414.pdf,P1000,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
P1000,VN,2021-04-29,https://www.deq.state.mi.us/aps/downloads/SRN/P1000/P1000_VN_20210429.pdf,P1000,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
P1000,VN,2021-07-20,https://www.deq.state.mi.us/aps/downloads/SRN/P1000/P1000_VN_20210720.pdf,P1000,"QUALITY ROASTING, LLC",48001,TUSCOLA,"135 S. BRADLEYVILLE ROAD, REESE, MI","[-83.62141240000001, 43.4917903]"
P1019,FCE,2020-09-01,https://www.deq.state.mi.us/aps/downloads/SRN/P1019/P1019_FCE_20200901.pdf,P1019,"GROUND EFFECTS, LLC",48001,MACOMB,"1990 CONCEPT DRIVE, WARREN, MI","[-83.08143450000001, 42.4797386]"
P1019,SAR,2020-08-27,https://www.deq.state.mi.us/aps/downloads/SRN/P1019/P1019_SAR_20200827.pdf,P1019,"GROUND EFFECTS, LLC",48001,MACOMB,"1990 CONCEPT DRIVE, WARREN, MI","[-83.08143450000001, 42.4797386]"
N8067,SAR,2019-08-28,https://www.deq.state.mi.us/aps/downloads/SRN/N8067/N8067_SAR_20190828.pdf,N8067,ARISTO CAST,48003,LAPEER,"7400 RESEARCH DR, ALMONT, MI","[-83.04981389999999, 42.9328091]"
U442102125,VN,2021-05-07,https://www.deq.state.mi.us/aps/downloads/SRN/U442102125/U442102125_VN_20210507.pdf,U442102125,NOVAK'S SUPPLY AND EQUIPMENT,48003,LAPEER,"3620 M-53, ALMONT, MI","[-83.05725199999999, 42.959516]"
U441700575,ASBVN,2017-11-22,https://www.deq.state.mi.us/aps/downloads/SRN/U441700575/U441700575_ASBVN_20171122.pdf,U441700575,VACANT BUILDING,48003,LAPEER,"401 CHURCH STREET, ALMONT, MI","[-83.0483876, 42.9237149]"
U441700575,ASBVN,2018-02-28,https://www.deq.state.mi.us/aps/downloads/SRN/U441700575/U441700575_ASBVN_20180228.pdf,U441700575,VACANT BUILDING,48003,LAPEER,"401 CHURCH STREET, ALMONT, MI","[-83.0483876, 42.9237149]"
U441700575,VN,2017-12-19,https://www.deq.state.mi.us/aps/downloads/SRN/U441700575/U441700575_VN_20171219.pdf,U441700575,VACANT BUILDING,48003,LAPEER,"401 CHURCH STREET, ALMONT, MI","[-83.0483876, 42.9237149]"
K2576,SAR,2017-06-06,https://www.deq.state.mi.us/aps/downloads/SRN/K2576/K2576_SAR_20170606.pdf,K2576,HENRY FORD MACOMB HEALTH CENTER -BRUCE TOWNSHIP,48003,MACOMB,"80650 EARLE MEMORIAL HOSPITAL, BRUCE TWP, MI","[-83.0398296, 42.886694]"
B8809,RVN,2015-01-21,https://www.deq.state.mi.us/aps/downloads/SRN/B8809/B8809_RVN_20150121.pdf,B8809,ARMADA GRAIN,48005,MACOMB,"73180 FULTON, ARMADA, MI","[-82.88261039999999, 42.83696399999999]"
B8809,SAR,2014-12-09,https://www.deq.state.mi.us/aps/downloads/SRN/B8809/B8809_SAR_20141209.pdf,B8809,ARMADA GRAIN,48005,MACOMB,"73180 FULTON, ARMADA, MI","[-82.88261039999999, 42.83696399999999]"
B8809,SAR,2017-06-26,https://www.deq.state.mi.us/aps/downloads/SRN/B8809/B8809_SAR_20170626.pdf,B8809,ARMADA GRAIN,48005,MACOMB,"73180 FULTON, ARMADA, MI","[-82.88261039999999, 42.83696399999999]"
B8809,VN,2014-12-23,https://www.deq.state.mi.us/aps/downloads/SRN/B8809/B8809_VN_20141223.pdf,B8809,ARMADA GRAIN,48005,MACOMB,"73180 FULTON, ARMADA, MI","[-82.88261039999999, 42.83696399999999]"
N5696,SAR,2021-11-05,https://www.deq.state.mi.us/aps/downloads/SRN/N5696/N5696_SAR_20211105.pdf,N5696,ARMADA RUBBER MANUFACTURING CO,48005,MACOMB,"24586 ARMADA RIDGE RD, ARMADA, MI","[-82.8683528, 42.84543730000001]"
B6636,FCE,2020-09-28,https://www.deq.state.mi.us/aps/downloads/SRN/B6636/B6636_FCE_20200928.pdf,B6636,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
B6636,RVN,2019-10-03,https://www.deq.state.mi.us/aps/downloads/SRN/B6636/B6636_RVN_20191003.pdf,B6636,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
B6636,RVN,2020-08-31,https://www.deq.state.mi.us/aps/downloads/SRN/B6636/B6636_RVN_20200831.pdf,B6636,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
B6636,SAR,2020-01-30,https://www.deq.state.mi.us/aps/downloads/SRN/B6636/B6636_SAR_20200130.pdf,B6636,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
B6636,TEST,2013-09-24,https://www.deq.state.mi.us/aps/downloads/SRN/B6636/B6636_TEST_20130924.pdf,B6636,CONSUMERS ENERGY - RAY COMPRESSOR STATION,48005,MACOMB,"69333  OMO RD., ARMADA, MI","[-82.86568450000001, 42.8107738]"
